Age,EdLevel,Employment,YearsOfExperience,Income
31,1,1,8,19700
36,1,1,13,24700
22,2,1,4,13300
23,1,1,2,12700
45,1,1,23,34200
25,1,1,3,14200
32,1,1,12,22200
24,1,1,3,13700
40,1,1,17,28700
27,1,1,3,15200
31,1,1,10,20700
39,1,1,14,26700
29,2,0,0,14700
16,1,0,0,8100
35,1,1,12,23700
32,1,1,10,21200
32,2,1,6,19300
22,2,1,2,12300
24,2,1,4,14300
53,3,1,28,40900
38,1,1,8,23200
23,1,1,4,13700
28,1,1,6,17200
44,1,1,23,33700
27,1,1,4,15700
44,2,1,23,33800
38,1,1,15,26700
31,1,1,9,20200
34,1,1,14,24200
25,2,1,3,14300
23,2,1,2,12800
25,1,0,0,12600
34,1,1,11,22700
27,1,0.5,0,13650
32,1,1,7,19700
25,1,1,2,13700
26,1,1,3,14700
22,1,1,2,12200
28,1,1,2,15200
31,1,1,10,20700
42,3,1,15,28900
30,1,1,4,17200
29,2,1,5,17300
55,1,1,25,40200
37,2,1,12,24800
38,1,1,8,23200
28,1,1,0,14200
29,1,1,5,17200
45,2,1,21,33300
25,1,0.5,0,12650
28,2,1,3,15800
50,3,1,20,35400
23,1,1,2,12700
38,1,1,12,25200
30,2,1,8,19300
35,1,1,16,25700
26,1,1,5,15700
23,1,1,5,14200
26,1,1,3,14700
38,1,1,19,28700
41,3,1,11,26400
35,1,1,4,19700
64,1,0,0,32100
37,1,1,3,20200
30,2,1,10,20300
53,1,1,35,44200
25,1,1,2,13700
30,1,1,8,19200
49,2,1,20,34800
23,1,0.5,0,11650
32,1,1,10,21200
33,1,1,12,22700
28,1,1,3,15700
34,1,1,6,20200
36,1,1,3,19700
35,1,1,8,21700
30,2,1,6,18300
30,1,1,3,16700
42,2,1,25,33800
40,1,1,18,29200
32,2,1,11,21800
24,1,1,4,14200
33,1,1,18,25700
30,1,1,14,22200
28,3,1,6,17400
26,1,1,2,14200
51,1,1,24,37700
26,1,1,5,15700
22,1,1,2,12200
23,1,1,0,11700
26,1,1,6,16200
34,1,1,7,20700
29,1,1,7,18200
24,1,1,3,13700
43,3,1,18,30900
23,1,0.5,0,11650
29,2,1,7,18300
21,1,0.5,0,10650
26,2,1,8,17300
23,2,1,3,13300
34,1,1,10,22200
53,1,1,32,42700
27,1,1,4,15700
22,2,0.5,0,11250
23,1,1,1,12200
37,1,1,15,26200
35,3,1,9,22400
40,1,1,10,25200
34,1,1,15,24700
34,1,1,5,19700
32,1,1,10,21200
41,1,1,19,30200
34,1,1,12,23200
32,1,1,2,17200
